Time	KKR	RCB	Mid
18:48:45	44%	56%	0.5
18:49:15	44%	56%	0.5
19:32:31	41%	59%	0.5
19:33:02	46%	54%	0.5
19:33:32	46%	54%	0.5
19:34:03	49%	51%	0.5
19:34:33	52%	48%	0.5
19:35:03	51%	49%	0.5
19:35:34	51%	49%	0.5
19:36:04	51%	49%	0.5
19:36:35	50%	50%	0.5
19:37:05	50%	50%	0.5
19:37:36	50%	50%	0.5
19:38:06	49%	51%	0.5
19:38:37	49%	51%	0.5
19:39:07	49%	51%	0.5
19:39:38	49%	51%	0.5
19:40:14	48%	52%	0.5
19:40:45	48%	52%	0.5
19:41:15	47%	53%	0.5
19:41:46	46%	54%	0.5
19:42:16	46%	54%	0.5
19:42:46	46%	54%	0.5
19:43:17	49%	51%	0.5
19:43:47	52%	48%	0.5
19:44:18	52%	48%	0.5
19:44:48	56%	44%	0.5
19:45:19	53%	47%	0.5
19:45:49	53%	47%	0.5
19:46:20	51%	49%	0.5
19:46:50	51%	49%	0.5
19:47:21	51%	49%	0.5
19:47:51	51%	49%	0.5
19:48:21	51%	49%	0.5
19:48:52	51%	49%	0.5
19:49:22	51%	49%	0.5
19:49:53	51%	49%	0.5
19:50:23	51%	49%	0.5
19:50:54	51%	49%	0.5
19:51:24	51%	49%	0.5
19:51:55	51%	49%	0.5
19:52:25	51%	49%	0.5
19:52:56	51%	49%	0.5
19:53:26	51%	49%	0.5
19:53:57	51%	49%	0.5
19:54:27	51%	49%	0.5
19:55:00	51%	49%	0.5
19:55:30	51%	49%	0.5
19:56:00	51%	49%	0.5
19:56:31	51%	49%	0.5
19:57:01	51%	49%	0.5
19:57:32	51%	49%	0.5
19:59:03	44%	56%	0.5
19:59:33	43%	57%	0.5
20:00:04	42%	58%	0.5
20:00:34	42%	58%	0.5
20:01:05	45%	55%	0.5
20:01:35	46%	54%	0.5
20:02:06	46%	54%	0.5
20:02:36	46%	54%	0.5
20:03:07	45%	55%	0.5
20:03:37	45%	55%	0.5
20:04:08	45%	55%	0.5
20:06:40	36%	64%	0.5
20:07:10	36%	64%	0.5
20:07:41	36%	64%	0.5
20:08:11	35%	65%	0.5
20:08:42	35%	65%	0.5
20:09:12	36%	64%	0.5
20:09:43	36%	64%	0.5
20:10:46	37%	63%	0.5
20:12:17	36%	64%	0.5
20:12:48	37%	63%	0.5
20:13:18	36%	64%	0.5
20:13:49	39%	61%	0.5
20:14:19	38%	62%	0.5
20:14:50	38%	62%	0.5
20:15:50	43%	57%	0.5
20:16:21	43%	57%	0.5
20:16:51	46%	54%	0.5
20:17:22	44%	56%	0.5
20:17:52	44%	56%	0.5
20:18:23	44%	56%	0.5
20:18:53	45%	55%	0.5
20:19:24	45%	55%	0.5
20:19:54	45%	55%	0.5
20:20:25	44%	56%	0.5
20:20:55	49%	51%	0.5
20:21:25	48%	52%	0.5
20:21:56	47%	53%	0.5
20:22:26	48%	52%	0.5
20:22:57	47%	53%	0.5
20:23:27	48%	52%	0.5
20:23:58	47%	53%	0.5
20:24:28	47%	53%	0.5
20:25:00	46%	54%	0.5
20:25:30	47%	53%	0.5
20:26:01	47%	53%	0.5
20:26:31	47%	53%	0.5
20:27:01	47%	53%	0.5
20:27:32	49%	51%	0.5
20:28:02	49%	51%	0.5
20:28:33	49%	51%	0.5
20:29:03	49%	51%	0.5
20:30:04	43%	57%	0.5
20:30:35	43%	57%	0.5
20:31:35	33%	67%	0.5
20:32:06	33%	67%	0.5
20:32:36	33%	67%	0.5
20:33:07	36%	64%	0.5
20:33:37	35%	65%	0.5
20:34:08	35%	65%	0.5
20:34:38	35%	65%	0.5
20:35:09	39%	61%	0.5
20:35:39	39%	61%	0.5
20:36:10	42%	58%	0.5
20:36:40	42%	58%	0.5
20:37:11	42%	58%	0.5
20:37:41	42%	58%	0.5
20:38:11	42%	58%	0.5
20:38:42	42%	58%	0.5
20:39:12	42%	58%	0.5
20:40:14	43%	57%	0.5
20:40:44	43%	57%	0.5
20:41:15	47%	53%	0.5
20:41:45	47%	53%	0.5
20:42:16	47%	53%	0.5
20:42:46	48%	52%	0.5
20:43:47	49%	51%	0.5
20:44:17	49%	51%	0.5
20:44:48	52%	48%	0.5
20:45:18	52%	48%	0.5
20:45:49	53%	47%	0.5
20:46:19	55%	45%	0.5
20:46:50	55%	45%	0.5
20:47:51	60%	40%	0.5
20:48:21	64%	36%	0.5
20:48:52	65%	35%	0.5
20:49:22	65%	35%	0.5
20:49:52	65%	35%	0.5
20:50:23	64%	36%	0.5
20:50:53	67%	33%	0.5
20:51:24	66%	34%	0.5
20:51:54	66%	34%	0.5
20:52:25	64%	36%	0.5
20:52:55	64%	36%	0.5
20:53:26	63%	37%	0.5
20:53:56	63%	37%	0.5
20:54:27	63%	37%	0.5
20:54:57	63%	37%	0.5
20:55:28	63%	37%	0.5
20:55:58	62%	38%	0.5
20:56:29	62%	38%	0.5
20:56:59	62%	38%	0.5
20:57:30	65%	35%	0.5
20:58:31	64%	36%	0.5
20:59:01	62%	38%	0.5
20:59:32	62%	38%	0.5
21:00:02	65%	35%	0.5
21:02:34	64%	36%	0.5
21:03:05	66%	34%	0.5
21:03:35	67%	33%	0.5
21:04:06	66%	34%	0.5
21:04:36	66%	34%	0.5
21:05:06	66%	34%	0.5
21:05:37	75%	25%	0.5
21:07:08	71%	29%	0.5
21:07:39	71%	29%	0.5
21:08:09	69%	31%	0.5
21:08:40	69%	31%	0.5
21:09:10	69%	31%	0.5
21:09:41	68%	32%	0.5
21:10:12	70%	30%	0.5
21:10:42	75%	25%	0.5
21:11:13	73%	27%	0.5
21:11:43	77%	23%	0.5
21:12:13	74%	26%	0.5
21:12:44	74%	26%	0.5
21:13:14	72%	28%	0.5
21:13:45	72%	28%	0.5
21:14:15	72%	28%	0.5
21:14:46	74%	26%	0.5
21:15:16	74%	26%	0.5
21:15:47	73%	27%	0.5
21:16:17	73%	27%	0.5
21:16:48	72%	28%	0.5
21:17:18	70%	30%	0.5
21:17:48	71%	29%	0.5
21:18:19	71%	29%	0.5
21:18:49	73%	27%	0.5
21:19:20	73%	27%	0.5
21:19:50	73%	27%	0.5
21:20:21	73%	27%	0.5
21:20:51	73%	27%	0.5
21:21:22	73%	27%	0.5
21:21:52	72%	28%	0.5
21:22:23	72%	28%	0.5
21:22:53	72%	28%	0.5
21:23:23	72%	28%	0.5
21:23:54	72%	28%	0.5
21:24:24	72%	28%	0.5
21:24:55	72%	28%	0.5
21:25:25	72%	28%	0.5
21:25:56	72%	28%	0.5
21:26:26	72%	28%	0.5
21:26:57	72%	28%	0.5
21:27:27	72%	28%	0.5
21:27:58	72%	28%	0.5
21:28:28	72%	28%	0.5
21:28:58	72%	28%	0.5
21:29:29	72%	28%	0.5
21:29:59	72%	28%	0.5
21:30:30	72%	28%	0.5
21:31:00	72%	28%	0.5
21:31:31	72%	28%	0.5
21:32:01	72%	28%	0.5
21:32:32	72%	28%	0.5
21:33:02	72%	28%	0.5
21:33:33	72%	28%	0.5
21:34:03	72%	28%	0.5
21:34:34	72%	28%	0.5
21:35:04	72%	28%	0.5
21:35:34	72%	28%	0.5
21:36:05	72%	28%	0.5
21:36:35	72%	28%	0.5
21:37:06	72%	28%	0.5
